x1,y
13.0,4.72
14.0,5.23
14.0,5.85
15.0,4.17
16.0,5.01
17.0,5.81
17.0,7.03
17.5,6.62
17.0,4.98
17.5,6.45
20.0,7.73
23.0,7.67
25.0,9.82
37.0,14.40
28.0,10.90
47.0,15.40
29.0,9.86
37.0,14.40
